/*********************************************
 * OPL 22.1.1.0 Data
 * Author: mehdi
 * Creation Date: Dec 21, 2024 at 10:33:12 PM
 *********************************************/

zones = 16;				//num of zones
beautificators = 8;		//num of beautificators
t_max = 72;				//num of time slots: 72 slots, each slot 5 min, 6 hours total

z0 = [1, 3, 5, 8, 9, 11, 13, 15];	//initial zone of each beautificator

//num of scooters at the beginning for each zone
nOUT = [ 5,  9,  9,  6,  8, 11,  7, 13, 17, 19, 11,  8,  9,  8, 11,  6];
nHOT = [ 1,  2,  5,  1,  3,  5,  2,  7,  5, 11,  7,  3,  5,  3,  6,  2];
// n = [ 6, 11, 14,  7, 11, 16,  9, 20, 22, 30, 18, 11, 14, 11, 17,  8]; // 225 in total

//num of time slots required for actions
mBEAU = 1;	//beau took 5 min
mHOT = 3;	//move to hotspot took 15 min
mMOVE = [	//calculated by distance and so
  [0, 1, 2, 3, 5, 6, 7, 8, 2, 3, 4, 6, 7, 4, 5, 6],
  [1, 0, 1, 2, 4, 5, 6, 7, 1, 2, 3, 5, 6, 3, 4, 5],
  [2, 1, 0, 1, 3, 4, 5, 6, 2, 1, 2, 4, 5, 4, 3, 4],
  [3, 2, 1, 0, 2, 3, 4, 5, 3, 2, 1, 3, 4, 5, 4, 3],
  [5, 4, 3, 2, 0, 1, 2, 3, 5, 4, 3, 1, 2, 7, 6, 5],
  [6, 5, 4, 3, 1, 0, 1, 2, 6, 5, 4, 2, 1, 8, 7, 6],
  [7, 6, 5, 4, 2, 1, 0, 1, 7, 6, 5, 3, 2, 9, 8, 7],
  [8, 7, 6, 5, 3, 2, 1, 0, 8, 7, 6, 4, 3,10, 9, 8],
  [2, 1, 2, 3, 5, 6, 7, 8, 0, 1, 2, 4, 5, 2, 3, 4],
  [3, 2, 1, 2, 4, 5, 6, 7, 1, 0, 1, 3, 4, 3, 2, 3],
  [4, 3, 2, 1, 3, 4, 5, 6, 2, 1, 0, 2, 3, 4, 3, 2],
  [6, 5, 4, 3, 1, 2, 3, 4, 4, 3, 2, 0, 1, 6, 5, 4],
  [7, 6, 5, 4, 2, 1, 2, 3, 5, 4, 3, 1, 0, 7, 6, 5],
  [4, 3, 4, 5, 7, 8, 9,10, 2, 3, 4, 6, 7, 0, 1, 2],
  [5, 4, 3, 4, 6, 7, 8, 9, 3, 2, 3, 5, 6, 1, 0, 1],
  [6, 5, 4, 3, 5, 6, 7, 8, 4, 3, 2, 4, 5, 2, 1, 0]
];
mWAIT = 1;

//profits
piBEAU = 5;
piHOT = 10;
piMOVE = [	//calculated by distance and scooter count in each zone
  [  0,  -5, -10, -15, -25, -30, -35, -40, -10, -15, -20, -30, -35, -20, -25, -30],
  [ -5,   0,  -5, -10, -20, -25, -30, -35,  -5, -10, -15, -25, -30, -15, -20, -25],
  [-10,  -5,   0,  -5, -15, -20, -25, -30, -10,  -5, -10, -20, -25, -20, -15, -20],
  [-15, -10,  -5,   0, -10, -15, -20, -25, -15, -10,  -5, -15, -20, -25, -20, -15],
  [-25, -20, -15, -10,   0,  -5, -10, -15, -25, -20, -15,  -5, -10, -35, -30, -25],
  [-30, -25, -20, -15,  -5,   0,  -5, -10, -30, -25, -20, -10,  -5, -40, -35, -30],
  [-35, -30, -25, -20, -10,  -5,   0,  -5, -35, -30, -25, -15, -10, -45, -40, -35],
  [-40, -35, -30, -25, -15, -10,  -5,   0, -40, -35, -30, -20, -15, -50, -45, -40],
  [-10,  -5, -10, -15, -25, -30, -35, -40,   0,  -5, -10, -20, -25, -10, -15, -20],
  [-15, -10,  -5, -10, -20, -25, -30, -35,  -5,   0,  -5, -15, -20, -15, -10, -15],
  [-20, -15, -10,  -5, -15, -20, -25, -30, -10,  -5,   0, -10, -15, -20, -15, -10],
  [-30, -25, -20, -15,  -5, -10, -15, -20, -20, -15, -10,   0,  -5, -30, -25, -20],
  [-35, -30, -25, -20, -10,  -5, -10, -15, -25, -20, -15,  -5,   0, -35, -30, -25],
  [-20, -15, -20, -25, -35, -40, -45, -50, -10, -15, -20, -30, -35,   0,  -5, -10],
  [-25, -20, -15, -20, -30, -35, -40, -45, -15, -10, -15, -25, -30,  -5,   0,  -5],
  [-30, -25, -20, -15, -25, -30, -35, -40, -20, -15, -10, -20, -25, -10,  -5,   0]
];

piWAIT = 0;

//output dosyasi
outputFile = "result_izmit_8_225.csv";
objFile = "obj_izmit_8_225.txt";
