Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,9,15,9,16,5,Beautification
1,9,16,9,17,5,Beautification
1,10,1,10,2,5,Beautification
1,10,28,10,29,5,Beautification
1,10,29,10,30,5,Beautification
1,10,30,10,31,5,Beautification
1,10,31,10,32,5,Beautification
1,10,32,10,33,5,Beautification
1,10,33,10,34,5,Beautification
1,10,34,10,35,5,Beautification
1,10,35,10,36,5,Beautification
1,9,6,9,9,10,Bring-to-Hotspot
1,9,9,9,12,10,Bring-to-Hotspot
1,9,12,9,15,10,Bring-to-Hotspot
1,9,17,9,20,10,Bring-to-Hotspot
1,9,20,9,23,10,Bring-to-Hotspot
1,9,23,9,26,10,Bring-to-Hotspot
1,10,2,10,5,10,Bring-to-Hotspot
1,10,36,10,39,10,Bring-to-Hotspot
1,10,39,10,42,10,Bring-to-Hotspot
1,10,42,10,45,10,Bring-to-Hotspot
1,10,45,10,48,10,Bring-to-Hotspot
1,10,48,10,51,10,Bring-to-Hotspot
1,10,51,10,54,10,Bring-to-Hotspot
1,10,54,10,57,10,Bring-to-Hotspot
1,10,57,10,60,10,Bring-to-Hotspot
1,10,60,10,63,10,Bring-to-Hotspot
1,10,63,10,66,10,Bring-to-Hotspot
1,10,66,10,69,10,Bring-to-Hotspot
1,10,69,10,72,10,Bring-to-Hotspot
1,3,0,10,1,-5,Move to zone 10
1,9,26,10,27,-5,Move to zone 10
1,10,5,9,6,-5,Move to zone 9
1,10,27,10,28,0,Wait
2,5,3,5,4,5,Beautification
2,6,37,6,38,5,Beautification
2,6,49,6,50,5,Beautification
2,6,67,6,68,5,Beautification
2,5,0,5,3,10,Bring-to-Hotspot
2,5,4,5,7,10,Bring-to-Hotspot
2,5,7,5,10,10,Bring-to-Hotspot
2,5,10,5,13,10,Bring-to-Hotspot
2,6,14,6,17,10,Bring-to-Hotspot
2,6,21,6,24,10,Bring-to-Hotspot
2,6,32,6,35,10,Bring-to-Hotspot
2,6,46,6,49,10,Bring-to-Hotspot
2,6,52,6,55,10,Bring-to-Hotspot
2,6,59,6,62,10,Bring-to-Hotspot
2,6,63,6,66,10,Bring-to-Hotspot
2,6,68,6,71,10,Bring-to-Hotspot
2,5,13,6,14,-5,Move to zone 6
2,6,17,6,18,0,Wait
2,6,18,6,19,0,Wait
2,6,19,6,20,0,Wait
2,6,20,6,21,0,Wait
2,6,24,6,25,0,Wait
2,6,25,6,26,0,Wait
2,6,26,6,27,0,Wait
2,6,27,6,28,0,Wait
2,6,28,6,29,0,Wait
2,6,29,6,30,0,Wait
2,6,30,6,31,0,Wait
2,6,31,6,32,0,Wait
