Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,3,0,3,1,5,Beautification
1,3,1,3,2,5,Beautification
1,3,2,3,3,5,Beautification
1,3,9,3,10,5,Beautification
1,3,25,3,26,5,Beautification
1,3,29,3,30,5,Beautification
1,10,34,10,35,5,Beautification
1,10,35,10,36,5,Beautification
1,10,36,10,37,5,Beautification
1,10,40,10,41,5,Beautification
1,10,41,10,42,5,Beautification
1,10,42,10,43,5,Beautification
1,10,43,10,44,5,Beautification
1,10,47,10,48,5,Beautification
1,10,60,10,61,5,Beautification
1,10,61,10,62,5,Beautification
1,10,62,10,63,5,Beautification
1,10,66,10,67,5,Beautification
1,10,67,10,68,5,Beautification
1,10,71,10,72,5,Beautification
1,3,3,3,6,10,Bring-to-Hotspot
1,3,6,3,9,10,Bring-to-Hotspot
1,3,10,3,13,10,Bring-to-Hotspot
1,3,13,3,16,10,Bring-to-Hotspot
1,3,16,3,19,10,Bring-to-Hotspot
1,3,19,3,22,10,Bring-to-Hotspot
1,3,22,3,25,10,Bring-to-Hotspot
1,3,26,3,29,10,Bring-to-Hotspot
1,10,31,10,34,10,Bring-to-Hotspot
1,10,37,10,40,10,Bring-to-Hotspot
1,10,44,10,47,10,Bring-to-Hotspot
1,10,48,10,51,10,Bring-to-Hotspot
1,10,51,10,54,10,Bring-to-Hotspot
1,10,54,10,57,10,Bring-to-Hotspot
1,10,57,10,60,10,Bring-to-Hotspot
1,10,63,10,66,10,Bring-to-Hotspot
1,10,68,10,71,10,Bring-to-Hotspot
1,3,30,10,31,-5,Move to zone 10
2,5,0,5,1,5,Beautification
2,5,1,5,2,5,Beautification
2,5,2,5,3,5,Beautification
2,5,3,5,4,5,Beautification
2,5,4,5,5,5,Beautification
2,5,5,5,6,5,Beautification
2,5,6,5,7,5,Beautification
2,5,7,5,8,5,Beautification
2,5,8,5,9,5,Beautification
2,5,9,5,10,5,Beautification
2,5,10,5,11,5,Beautification
2,6,12,6,13,5,Beautification
2,6,13,6,14,5,Beautification
2,6,14,6,15,5,Beautification
2,6,15,6,16,5,Beautification
2,6,16,6,17,5,Beautification
2,6,17,6,18,5,Beautification
2,6,18,6,19,5,Beautification
2,6,22,6,23,5,Beautification
2,6,26,6,27,5,Beautification
2,6,27,6,28,5,Beautification
2,6,28,6,29,5,Beautification
2,6,29,6,30,5,Beautification
2,6,33,6,34,5,Beautification
2,12,36,12,37,5,Beautification
2,12,37,12,38,5,Beautification
2,12,41,12,42,5,Beautification
2,12,42,12,43,5,Beautification
2,12,43,12,44,5,Beautification
2,12,47,12,48,5,Beautification
2,12,48,12,49,5,Beautification
2,12,49,12,50,5,Beautification
2,12,50,12,51,5,Beautification
2,13,52,13,53,5,Beautification
2,13,56,13,57,5,Beautification
2,13,57,13,58,5,Beautification
2,13,61,13,62,5,Beautification
2,13,62,13,63,5,Beautification
2,13,63,13,64,5,Beautification
2,13,64,13,65,5,Beautification
2,13,65,13,66,5,Beautification
2,13,66,13,67,5,Beautification
2,13,67,13,68,5,Beautification
2,13,68,13,69,5,Beautification
2,6,19,6,22,10,Bring-to-Hotspot
2,6,23,6,26,10,Bring-to-Hotspot
2,6,30,6,33,10,Bring-to-Hotspot
2,12,38,12,41,10,Bring-to-Hotspot
2,12,44,12,47,10,Bring-to-Hotspot
2,13,53,13,56,10,Bring-to-Hotspot
2,13,58,13,61,10,Bring-to-Hotspot
2,13,69,13,72,10,Bring-to-Hotspot
2,5,11,6,12,-5,Move to zone 6
2,6,34,12,36,-10,Move to zone 12
2,12,51,13,52,-5,Move to zone 13
3,7,49,7,50,5,Beautification
3,7,53,7,54,5,Beautification
3,8,3,8,4,5,Beautification
3,8,4,8,5,5,Beautification
3,8,11,8,12,5,Beautification
3,8,15,8,16,5,Beautification
3,8,31,8,32,5,Beautification
3,8,36,8,37,5,Beautification
3,8,47,8,48,5,Beautification
3,7,50,7,53,10,Bring-to-Hotspot
3,7,54,7,57,10,Bring-to-Hotspot
3,7,57,7,60,10,Bring-to-Hotspot
3,7,60,7,63,10,Bring-to-Hotspot
3,7,63,7,66,10,Bring-to-Hotspot
3,7,66,7,69,10,Bring-to-Hotspot
3,7,69,7,72,10,Bring-to-Hotspot
3,8,0,8,3,10,Bring-to-Hotspot
3,8,5,8,8,10,Bring-to-Hotspot
3,8,8,8,11,10,Bring-to-Hotspot
3,8,12,8,15,10,Bring-to-Hotspot
3,8,16,8,19,10,Bring-to-Hotspot
3,8,19,8,22,10,Bring-to-Hotspot
3,8,22,8,25,10,Bring-to-Hotspot
3,8,25,8,28,10,Bring-to-Hotspot
3,8,28,8,31,10,Bring-to-Hotspot
3,8,33,8,36,10,Bring-to-Hotspot
3,8,37,8,40,10,Bring-to-Hotspot
3,8,40,8,43,10,Bring-to-Hotspot
3,8,44,8,47,10,Bring-to-Hotspot
3,8,48,7,49,-5,Move to zone 7
3,8,32,8,33,0,Wait
3,8,43,8,44,0,Wait
4,9,18,9,19,5,Beautification
4,9,31,9,32,5,Beautification
4,9,35,9,36,5,Beautification
4,9,36,9,37,5,Beautification
4,9,37,9,38,5,Beautification
4,9,53,9,54,5,Beautification
4,10,61,10,62,5,Beautification
4,10,62,10,63,5,Beautification
4,10,63,10,64,5,Beautification
4,10,67,10,68,5,Beautification
4,10,71,10,72,5,Beautification
4,2,56,2,59,10,Bring-to-Hotspot
4,9,0,9,3,10,Bring-to-Hotspot
4,9,3,9,6,10,Bring-to-Hotspot
4,9,6,9,9,10,Bring-to-Hotspot
4,9,9,9,12,10,Bring-to-Hotspot
4,9,12,9,15,10,Bring-to-Hotspot
4,9,15,9,18,10,Bring-to-Hotspot
4,9,19,9,22,10,Bring-to-Hotspot
4,9,22,9,25,10,Bring-to-Hotspot
4,9,25,9,28,10,Bring-to-Hotspot
4,9,28,9,31,10,Bring-to-Hotspot
4,9,32,9,35,10,Bring-to-Hotspot
4,9,38,9,41,10,Bring-to-Hotspot
4,9,41,9,44,10,Bring-to-Hotspot
4,9,44,9,47,10,Bring-to-Hotspot
4,9,47,9,50,10,Bring-to-Hotspot
4,9,50,9,53,10,Bring-to-Hotspot
4,10,64,10,67,10,Bring-to-Hotspot
4,10,68,10,71,10,Bring-to-Hotspot
4,2,59,10,61,-10,Move to zone 10
4,9,55,2,56,-5,Move to zone 2
4,9,54,9,55,0,Wait
5,1,71,1,72,5,Beautification
5,2,40,2,41,5,Beautification
5,2,41,2,42,5,Beautification
5,2,42,2,43,5,Beautification
5,2,49,2,50,5,Beautification
5,2,50,2,51,5,Beautification
5,2,51,2,52,5,Beautification
5,11,0,11,1,5,Beautification
5,11,4,11,5,5,Beautification
5,11,5,11,6,5,Beautification
5,11,15,11,16,5,Beautification
5,11,22,11,23,5,Beautification
5,11,29,11,30,5,Beautification
5,11,33,11,34,5,Beautification
5,1,59,1,62,10,Bring-to-Hotspot
5,1,62,1,65,10,Bring-to-Hotspot
5,1,65,1,68,10,Bring-to-Hotspot
5,1,68,1,71,10,Bring-to-Hotspot
5,2,43,2,46,10,Bring-to-Hotspot
5,2,46,2,49,10,Bring-to-Hotspot
5,2,52,2,55,10,Bring-to-Hotspot
5,2,55,2,58,10,Bring-to-Hotspot
5,11,1,11,4,10,Bring-to-Hotspot
5,11,6,11,9,10,Bring-to-Hotspot
5,11,9,11,12,10,Bring-to-Hotspot
5,11,12,11,15,10,Bring-to-Hotspot
5,11,16,11,19,10,Bring-to-Hotspot
5,11,19,11,22,10,Bring-to-Hotspot
5,11,23,11,26,10,Bring-to-Hotspot
5,11,26,11,29,10,Bring-to-Hotspot
5,11,30,11,33,10,Bring-to-Hotspot
5,11,34,11,37,10,Bring-to-Hotspot
5,2,58,1,59,-5,Move to zone 1
5,11,37,2,40,-15,Move to zone 2
6,14,58,14,59,5,Beautification
6,14,62,14,63,5,Beautification
6,14,63,14,64,5,Beautification
6,14,64,14,65,5,Beautification
6,14,65,14,66,5,Beautification
6,14,69,14,70,5,Beautification
6,14,70,14,71,5,Beautification
6,14,71,14,72,5,Beautification
6,15,0,15,1,5,Beautification
6,15,1,15,2,5,Beautification
6,15,8,15,9,5,Beautification
6,15,32,15,33,5,Beautification
6,15,48,15,49,5,Beautification
6,15,49,15,50,5,Beautification
6,15,56,15,57,5,Beautification
6,16,25,16,26,5,Beautification
6,16,29,16,30,5,Beautification
6,16,30,16,31,5,Beautification
6,14,59,14,62,10,Bring-to-Hotspot
6,14,66,14,69,10,Bring-to-Hotspot
6,15,2,15,5,10,Bring-to-Hotspot
6,15,5,15,8,10,Bring-to-Hotspot
6,15,9,15,12,10,Bring-to-Hotspot
6,15,33,15,36,10,Bring-to-Hotspot
6,15,36,15,39,10,Bring-to-Hotspot
6,15,39,15,42,10,Bring-to-Hotspot
6,15,42,15,45,10,Bring-to-Hotspot
6,15,45,15,48,10,Bring-to-Hotspot
6,15,50,15,53,10,Bring-to-Hotspot
6,15,53,15,56,10,Bring-to-Hotspot
6,16,13,16,16,10,Bring-to-Hotspot
6,16,16,16,19,10,Bring-to-Hotspot
6,16,19,16,22,10,Bring-to-Hotspot
6,16,22,16,25,10,Bring-to-Hotspot
6,16,26,16,29,10,Bring-to-Hotspot
6,15,57,14,58,-5,Move to zone 14
6,15,12,16,13,-5,Move to zone 16
6,16,31,15,32,-5,Move to zone 15
