Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,2,31,2,32,5,Beautification
1,3,9,3,10,5,Beautification
1,3,16,3,17,5,Beautification
1,3,17,3,18,5,Beautification
1,9,48,9,49,5,Beautification
1,9,52,9,53,5,Beautification
1,9,56,9,57,5,Beautification
1,9,57,9,58,5,Beautification
1,9,61,9,62,5,Beautification
1,9,65,9,66,5,Beautification
1,2,22,2,25,10,Bring-to-Hotspot
1,2,25,2,28,10,Bring-to-Hotspot
1,2,28,2,31,10,Bring-to-Hotspot
1,2,32,2,35,10,Bring-to-Hotspot
1,2,35,2,38,10,Bring-to-Hotspot
1,2,38,2,41,10,Bring-to-Hotspot
1,3,0,3,3,10,Bring-to-Hotspot
1,3,3,3,6,10,Bring-to-Hotspot
1,3,6,3,9,10,Bring-to-Hotspot
1,3,10,3,13,10,Bring-to-Hotspot
1,3,13,3,16,10,Bring-to-Hotspot
1,3,18,3,21,10,Bring-to-Hotspot
1,9,42,9,45,10,Bring-to-Hotspot
1,9,45,9,48,10,Bring-to-Hotspot
1,9,49,9,52,10,Bring-to-Hotspot
1,9,53,9,56,10,Bring-to-Hotspot
1,9,58,9,61,10,Bring-to-Hotspot
1,9,62,9,65,10,Bring-to-Hotspot
1,9,66,9,69,10,Bring-to-Hotspot
1,9,69,9,72,10,Bring-to-Hotspot
1,2,41,9,42,-5,Move to zone 9
1,3,21,2,22,-5,Move to zone 2
2,5,3,5,4,5,Beautification
2,5,7,5,8,5,Beautification
2,5,8,5,9,5,Beautification
2,5,12,5,13,5,Beautification
2,6,17,6,18,5,Beautification
2,6,18,6,19,5,Beautification
2,6,19,6,20,5,Beautification
2,6,20,6,21,5,Beautification
2,6,21,6,22,5,Beautification
2,12,27,12,28,5,Beautification
2,12,37,12,38,5,Beautification
2,13,51,13,52,5,Beautification
2,13,55,13,56,5,Beautification
2,13,71,13,72,5,Beautification
2,5,0,5,3,10,Bring-to-Hotspot
2,5,4,5,7,10,Bring-to-Hotspot
2,5,9,5,12,10,Bring-to-Hotspot
2,5,13,5,16,10,Bring-to-Hotspot
2,6,22,6,25,10,Bring-to-Hotspot
2,12,28,12,31,10,Bring-to-Hotspot
2,12,31,12,34,10,Bring-to-Hotspot
2,12,34,12,37,10,Bring-to-Hotspot
2,12,38,12,41,10,Bring-to-Hotspot
2,12,41,12,44,10,Bring-to-Hotspot
2,12,44,12,47,10,Bring-to-Hotspot
2,13,52,13,55,10,Bring-to-Hotspot
2,13,56,13,59,10,Bring-to-Hotspot
2,13,59,13,62,10,Bring-to-Hotspot
2,13,62,13,65,10,Bring-to-Hotspot
2,13,65,13,68,10,Bring-to-Hotspot
2,13,68,13,71,10,Bring-to-Hotspot
2,5,16,6,17,-5,Move to zone 6
2,6,25,12,27,-10,Move to zone 12
2,12,50,13,51,-5,Move to zone 13
2,12,47,12,48,0,Wait
2,12,48,12,49,0,Wait
2,12,49,12,50,0,Wait
3,4,71,4,72,5,Beautification
3,6,54,6,55,5,Beautification
3,6,55,6,56,5,Beautification
3,7,43,7,44,5,Beautification
3,8,21,8,22,5,Beautification
3,8,25,8,26,5,Beautification
3,8,29,8,30,5,Beautification
3,4,59,4,62,10,Bring-to-Hotspot
3,4,62,4,65,10,Bring-to-Hotspot
3,4,65,4,68,10,Bring-to-Hotspot
3,4,68,4,71,10,Bring-to-Hotspot
3,6,48,6,51,10,Bring-to-Hotspot
3,6,51,6,54,10,Bring-to-Hotspot
3,7,31,7,34,10,Bring-to-Hotspot
3,7,34,7,37,10,Bring-to-Hotspot
3,7,37,7,40,10,Bring-to-Hotspot
3,7,40,7,43,10,Bring-to-Hotspot
3,7,44,7,47,10,Bring-to-Hotspot
3,8,0,8,3,10,Bring-to-Hotspot
3,8,3,8,6,10,Bring-to-Hotspot
3,8,6,8,9,10,Bring-to-Hotspot
3,8,9,8,12,10,Bring-to-Hotspot
