Beautificator,Zone_From,Time_From,Zone_To,Time_To,Profit,Action
1,3,0,3,1,5,Beautification
1,3,1,3,2,5,Beautification
1,3,2,3,3,5,Beautification
1,3,3,3,4,5,Beautification
1,3,10,3,11,5,Beautification
1,3,11,3,12,5,Beautification
1,3,12,3,13,5,Beautification
1,3,13,3,14,5,Beautification
1,3,14,3,15,5,Beautification
1,3,18,3,19,5,Beautification
1,3,19,3,20,5,Beautification
1,9,51,9,52,5,Beautification
1,9,52,9,53,5,Beautification
1,9,53,9,54,5,Beautification
1,9,54,9,55,5,Beautification
1,9,55,9,56,5,Beautification
1,9,56,9,57,5,Beautification
1,9,57,9,58,5,Beautification
1,9,58,9,59,5,Beautification
1,9,59,9,60,5,Beautification
1,9,60,9,61,5,Beautification
1,9,61,9,62,5,Beautification
1,9,62,9,63,5,Beautification
1,9,63,9,64,5,Beautification
1,9,64,9,65,5,Beautification
1,9,65,9,66,5,Beautification
1,9,66,9,67,5,Beautification
1,9,67,9,68,5,Beautification
1,9,68,9,69,5,Beautification
1,9,69,9,70,5,Beautification
1,9,70,9,71,5,Beautification
1,9,71,9,72,5,Beautification
1,10,24,10,25,5,Beautification
1,10,25,10,26,5,Beautification
1,10,26,10,27,5,Beautification
1,10,27,10,28,5,Beautification
1,10,28,10,29,5,Beautification
1,10,29,10,30,5,Beautification
1,10,30,10,31,5,Beautification
1,10,34,10,35,5,Beautification
1,10,35,10,36,5,Beautification
1,10,36,10,37,5,Beautification
1,10,37,10,38,5,Beautification
1,10,41,10,42,5,Beautification
1,10,42,10,43,5,Beautification
1,10,43,10,44,5,Beautification
1,10,44,10,45,5,Beautification
1,10,45,10,46,5,Beautification
1,10,49,10,50,5,Beautification
1,3,4,3,7,10,Bring-to-Hotspot
1,3,7,3,10,10,Bring-to-Hotspot
1,3,15,3,18,10,Bring-to-Hotspot
1,10,21,10,24,10,Bring-to-Hotspot
1,10,31,10,34,10,Bring-to-Hotspot
1,10,38,10,41,10,Bring-to-Hotspot
1,10,46,10,49,10,Bring-to-Hotspot
1,3,20,10,21,-5,Move to zone 10
1,10,50,9,51,-5,Move to zone 9
2,5,12,5,13,5,Beautification
2,5,19,5,20,5,Beautification
2,6,42,6,43,5,Beautification
2,6,43,6,44,5,Beautification
2,6,44,6,45,5,Beautification
2,6,45,6,46,5,Beautification
2,6,46,6,47,5,Beautification
2,6,47,6,48,5,Beautification
2,6,48,6,49,5,Beautification
2,6,49,6,50,5,Beautification
2,6,50,6,51,5,Beautification
2,6,51,6,52,5,Beautification
2,6,52,6,53,5,Beautification
2,6,53,6,54,5,Beautification
2,6,54,6,55,5,Beautification
2,6,55,6,56,5,Beautification
2,6,56,6,57,5,Beautification
2,12,27,12,28,5,Beautification
2,12,28,12,29,5,Beautification
2,12,29,12,30,5,Beautification
2,12,30,12,31,5,Beautification
2,12,31,12,32,5,Beautification
2,12,32,12,33,5,Beautification
2,12,33,12,34,5,Beautification
2,12,37,12,38,5,Beautification
2,12,38,12,39,5,Beautification
2,12,39,12,40,5,Beautification
2,13,58,13,59,5,Beautification
2,13,59,13,60,5,Beautification
2,13,60,13,61,5,Beautification
2,13,61,13,62,5,Beautification
2,13,62,13,63,5,Beautification
2,13,63,13,64,5,Beautification
2,13,64,13,65,5,Beautification
2,13,65,13,66,5,Beautification
2,13,66,13,67,5,Beautification
2,13,67,13,68,5,Beautification
2,13,68,13,69,5,Beautification
2,13,69,13,70,5,Beautification
2,13,70,13,71,5,Beautification
2,13,71,13,72,5,Beautification
2,5,0,5,3,10,Bring-to-Hotspot
2,5,3,5,6,10,Bring-to-Hotspot
2,5,6,5,9,10,Bring-to-Hotspot
2,5,9,5,12,10,Bring-to-Hotspot
2,5,13,5,16,10,Bring-to-Hotspot
2,5,16,5,19,10,Bring-to-Hotspot
2,5,20,5,23,10,Bring-to-Hotspot
2,5,23,5,26,10,Bring-to-Hotspot
2,12,34,12,37,10,Bring-to-Hotspot
2,5,26,12,27,-5,Move to zone 12
2,6,57,13,58,-5,Move to zone 13
2,12,40,6,42,-10,Move to zone 6
3,7,47,7,48,5,Beautification
3,7,53,7,54,5,Beautification
3,8,0,8,1,5,Beautification
3,8,1,8,2,5,Beautification
3,8,2,8,3,5,Beautification
3,8,18,8,19,5,Beautification
3,8,25,8,26,5,Beautification
3,8,29,8,30,5,Beautification
3,8,39,8,40,5,Beautification
3,7,50,7,53,10,Bring-to-Hotspot
3,7,54,7,57,10,Bring-to-Hotspot
3,7,57,7,60,10,Bring-to-Hotspot
3,7,60,7,63,10,Bring-to-Hotspot
3,7,63,7,66,10,Bring-to-Hotspot
3,7,66,7,69,10,Bring-to-Hotspot
3,7,69,7,72,10,Bring-to-Hotspot
3,8,3,8,6,10,Bring-to-Hotspot
3,8,6,8,9,10,Bring-to-Hotspot
3,8,9,8,12,10,Bring-to-Hotspot
3,8,12,8,15,10,Bring-to-Hotspot
3,8,15,8,18,10,Bring-to-Hotspot
3,8,19,8,22,10,Bring-to-Hotspot
3,8,22,8,25,10,Bring-to-Hotspot
3,8,26,8,29,10,Bring-to-Hotspot
3,8,30,8,33,10,Bring-to-Hotspot
3,8,33,8,36,10,Bring-to-Hotspot
3,8,36,8,39,10,Bring-to-Hotspot
3,8,40,8,43,10,Bring-to-Hotspot
3,8,43,8,46,10,Bring-to-Hotspot
3,8,46,7,47,-5,Move to zone 7
3,7,48,7,49,0,Wait
3,7,49,7,50,0,Wait
4,1,23,1,24,5,Beautification
4,1,27,1,28,5,Beautification
4,1,31,1,32,5,Beautification
4,2,39,2,40,5,Beautification
4,2,40,2,41,5,Beautification
4,2,41,2,42,5,Beautification
4,2,42,2,43,5,Beautification
4,2,43,2,44,5,Beautification
4,2,44,2,45,5,Beautification
4,10,60,10,61,5,Beautification
4,10,61,10,62,5,Beautification
4,10,62,10,63,5,Beautification
4,10,63,10,64,5,Beautification
4,10,64,10,65,5,Beautification
4,10,66,10,67,5,Beautification
4,10,67,10,68,5,Beautification
4,10,71,10,72,5,Beautification
4,11,0,11,1,5,Beautification
4,11,1,11,2,5,Beautification
4,11,2,11,3,5,Beautification
4,11,3,11,4,5,Beautification
4,11,4,11,5,5,Beautification
4,11,5,11,6,5,Beautification
4,11,6,11,7,5,Beautification
4,11,7,11,8,5,Beautification
4,11,8,11,9,5,Beautification
4,11,9,11,10,5,Beautification
4,11,10,11,11,5,Beautification
4,11,11,11,12,5,Beautification
4,11,12,11,13,5,Beautification
4,11,13,11,14,5,Beautification
4,11,14,11,15,5,Beautification
4,11,15,11,16,5,Beautification
4,11,16,11,17,5,Beautification
4,11,17,11,18,5,Beautification
4,1,24,1,27,10,Bring-to-Hotspot
4,1,28,1,31,10,Bring-to-Hotspot
4,1,32,1,35,10,Bring-to-Hotspot
4,2,36,2,39,10,Bring-to-Hotspot
4,2,45,2,48,10,Bring-to-Hotspot
4,2,48,2,51,10,Bring-to-Hotspot
4,2,51,2,54,10,Bring-to-Hotspot
4,2,54,2,57,10,Bring-to-Hotspot
4,10,68,10,71,10,Bring-to-Hotspot
4,1,35,2,36,-5,Move to zone 2
4,2,22,1,23,-5,Move to zone 1
4,2,58,10,60,-10,Move to zone 10
4,11,18,2,21,-15,Move to zone 2
4,2,21,2,22,0,Wait
4,2,57,2,58,0,Wait
4,10,65,10,66,0,Wait
5,14,57,14,58,5,Beautification
5,14,58,14,59,5,Beautification
5,14,59,14,60,5,Beautification
5,14,66,14,67,5,Beautification
5,14,67,14,68,5,Beautification
5,14,68,14,69,5,Beautification
5,14,69,14,70,5,Beautification
5,14,70,14,71,5,Beautification
5,14,71,14,72,5,Beautification
5,15,6,15,7,5,Beautification
5,15,13,15,14,5,Beautification
5,15,20,15,21,5,Beautification
5,15,30,15,31,5,Beautification
5,15,34,15,35,5,Beautification
5,15,38,15,39,5,Beautification
5,16,43,16,44,5,Beautification
5,16,44,16,45,5,Beautification
5,16,45,16,46,5,Beautification
5,14,60,14,63,10,Bring-to-Hotspot
5,14,63,14,66,10,Bring-to-Hotspot
5,15,0,15,3,10,Bring-to-Hotspot
5,15,3,15,6,10,Bring-to-Hotspot
5,15,7,15,10,10,Bring-to-Hotspot
5,15,10,15,13,10,Bring-to-Hotspot
5,15,14,15,17,10,Bring-to-Hotspot
5,15,17,15,20,10,Bring-to-Hotspot
5,15,21,15,24,10,Bring-to-Hotspot
5,15,24,15,27,10,Bring-to-Hotspot
5,15,27,15,30,10,Bring-to-Hotspot
5,15,31,15,34,10,Bring-to-Hotspot
5,15,35,15,38,10,Bring-to-Hotspot
5,16,40,16,43,10,Bring-to-Hotspot
5,16,46,16,49,10,Bring-to-Hotspot
5,16,49,16,52,10,Bring-to-Hotspot
5,16,52,16,55,10,Bring-to-Hotspot
5,15,56,14,57,-5,Move to zone 14
5,15,39,16,40,-5,Move to zone 16
5,16,55,15,56,-5,Move to zone 15
